City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Adwa,ET,14.1646,38.8955,59.05,80,86,2.59,overcast clouds
79,Neiafu,TO,-18.65,-173.9833,86.68,74,40,12.66,scattered clouds
80,Mercedes,AR,-34.6515,-59.4307,81.18,42,0,7.83,clear sky
81,Nuuk,GL,64.1835,-51.7216,50.61,34,75,13.8,broken clouds
82,Murchison,NZ,-41.8,172.3333,72.55,45,0,7.09,clear sky
83,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,86,90,8.95,light shower snow
84,Garwolin,PL,51.8975,21.6147,35.76,86,37,10.0,scattered clouds
85,Yellowknife,CA,62.456,-114.3525,-18.58,94,40,6.91,light snow
86,Tura,IN,25.5198,90.2201,52.65,65,0,3.49,clear sky
87,Atherton,GB,53.5237,-2.4935,42.71,98,87,3.78,overcast clouds
88,Busselton,AU,-33.65,115.3333,74.08,44,0,4.85,clear sky
89,Ushuaia,AR,-54.8,-68.3,40.66,70,40,17.27,scattered clouds
90,Port Alfred,ZA,-33.5906,26.891,66.29,91,43,11.81,scattered clouds
91,Yining,CN,29.0361,114.5636,49.53,44,1,0.72,clear sky
92,Nabire,ID,-3.3667,135.4833,85.77,64,14,3.0,few clouds
93,Viedma,AR,-40.8135,-62.9967,73.2,49,86,14.67,overcast clouds
94,Svetlyy,RU,54.675,20.1347,37.45,81,89,22.41,overcast clouds
95,Monrovia,LR,6.3005,-10.7969,79.81,82,11,6.35,moderate rain
96,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,62,0,13.8,clear sky
97,Craig,US,40.5153,-107.5464,27.36,79,1,0.0,clear sky
98,Traverse City,US,44.7631,-85.6206,32.2,72,90,6.91,overcast clouds
99,Buluang,PH,13.3068,123.3425,82.06,79,19,2.8,few clouds
100,Megion,RU,61.0296,76.1136,-23.78,87,100,14.16,overcast clouds
101,Kilindoni,TZ,-7.9139,39.6668,81.57,78,100,6.64,overcast clouds
102,Necochea,AR,-38.5473,-58.7368,61.03,90,0,6.96,clear sky
103,Broome,US,42.2506,-75.833,26.83,77,90,3.0,overcast clouds
104,Constitucion,CL,-35.3333,-72.4167,58.1,83,49,12.71,scattered clouds
105,Buala,SB,-8.145,159.5921,83.48,79,89,6.91,light rain
106,Saint-Georges,GD,12.0564,-61.7485,78.48,83,40,19.57,scattered clouds
107,Kribi,CM,2.95,9.9167,79.52,86,33,3.83,scattered clouds
108,Castro,BR,-24.7911,-50.0119,58.15,81,0,8.75,clear sky
109,Kulhudhuffushi,MV,6.6221,73.07,81.19,74,17,7.96,few clouds
110,Faanui,PF,-16.4833,-151.75,79.83,76,29,8.93,light rain
111,Airai,TL,-8.9266,125.4092,69.13,79,100,0.54,overcast clouds
112,San Quintin,MX,30.4833,-115.95,57.76,60,0,4.68,clear sky
113,Batagay-Alyta,RU,67.8006,130.4114,-26.48,99,100,1.66,overcast clouds
114,Paamiut,GL,61.994,-49.6678,45.0,45,100,27.31,overcast clouds
115,Fortuna,US,40.5982,-124.1573,55.74,84,40,3.0,scattered clouds
116,Provideniya,RU,64.3833,-173.3,32.36,100,90,20.13,light rain and snow
117,Ilulissat,GL,69.2167,-51.1,39.22,45,100,25.32,overcast clouds
118,Ponta Delgada,PT,37.7333,-25.6667,59.72,82,40,10.36,scattered clouds
119,Atuona,PF,-9.8,-139.0333,78.13,72,7,13.65,clear sky
120,Merauke,ID,-8.4667,140.3333,85.39,63,100,4.65,overcast clouds
121,Kanniyakumari,IN,8.0833,77.5667,75.2,73,29,20.51,scattered clouds
122,Tuatapere,NZ,-46.1333,167.6833,73.81,90,99,8.19,moderate rain
123,Arys,KZ,42.4252,68.795,48.42,88,0,13.18,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,58.44,79,100,34.92,overcast clouds
125,Soyo,AO,-6.1349,12.3689,77.47,89,71,9.01,broken clouds
126,Kibala,TD,9.1104,18.3463,67.95,60,0,0.0,clear sky
127,Shache,CN,38.4167,77.2406,20.59,59,4,1.14,clear sky
128,Aloleng,PH,16.1307,119.7824,80.56,77,97,9.91,overcast clouds
129,Sao Filipe,CV,14.8961,-24.4956,72.82,80,100,9.46,overcast clouds
130,Sun City West,US,33.662,-112.3413,64.0,35,1,3.44,clear sky
131,Chapais,CA,49.7834,-74.8492,-0.62,100,79,1.36,broken clouds
132,Sheboygan,US,43.7333,-87.9334,32.52,73,1,5.99,clear sky
133,Victoria,HK,22.2855,114.1577,64.38,82,100,1.01,overcast clouds
134,Waterloo,CA,43.4668,-80.5164,21.83,85,1,0.0,clear sky
135,Vardo,NO,70.3705,31.1107,28.87,61,100,24.36,light snow
136,Morondava,MG,-20.2833,44.2833,78.42,74,73,5.57,broken clouds
137,Mahebourg,MU,-20.4081,57.7,75.49,83,20,5.75,few clouds
138,Ambovombe,MG,-25.1667,46.0833,67.84,77,79,12.93,broken clouds
139,Oriximina,BR,-1.7656,-55.8661,78.6,74,38,1.7,scattered clouds
140,Kerema,PG,-7.9631,145.7785,83.59,69,100,5.39,overcast clouds
141,Tasiilaq,GL,65.6145,-37.6368,30.36,65,90,9.91,overcast clouds
142,Frontera,MX,26.9333,-101.45,38.95,100,90,0.0,overcast clouds
143,Bengkulu,ID,-3.8004,102.2655,76.82,86,100,5.88,overcast clouds
144,Altay,CN,47.8667,88.1167,21.31,63,100,5.19,overcast clouds
145,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,89.29,39,80,6.42,broken clouds
146,Adrar,MR,20.5022,-10.0711,70.25,32,100,12.24,overcast clouds
147,Katsuura,JP,35.1333,140.3,46.51,52,0,6.96,clear sky
148,Dongsheng,CN,39.8161,109.9776,22.46,43,0,11.88,clear sky
149,Aykhal,RU,66.0,111.5,-20.42,98,100,8.01,overcast clouds
150,Ambilobe,MG,-13.2,49.05,76.28,93,90,0.13,light rain
151,Coquimbo,CL,-29.9533,-71.3436,60.53,88,90,6.91,overcast clouds
152,Anadyr,RU,64.75,177.4833,0.1,78,40,13.42,scattered clouds
153,Sunrise Manor,US,36.2111,-115.0731,50.99,35,1,6.91,clear sky
154,Burnie,AU,-41.0667,145.9167,58.95,91,100,22.82,overcast clouds
155,Odoyev,RU,53.9393,36.6864,18.97,93,96,10.85,overcast clouds
156,Erdenet,MN,49.0333,104.0833,6.13,85,7,1.79,clear sky
