City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ako,JP,2021-12-19 04:41:25,34.75,134.4,50.38,51,44,7.0
68,Pisco,PE,2021-12-19 04:41:25,-13.7,-76.2167,66.25,82,0,5.75
69,Netivot,IL,2021-12-19 04:41:25,31.4222,34.5886,50.9,57,1,12.59
70,Albany,US,2021-12-19 04:38:22,42.6001,-73.9662,38.68,93,100,2.28
71,Tuktoyaktuk,CA,2021-12-19 04:41:26,69.4541,-133.0374,-14.8,76,75,10.36
72,Bengkulu,ID,2021-12-19 04:41:26,-3.8004,102.2655,83.71,65,100,10.85
73,San Andres,CO,2021-12-19 04:41:26,12.5847,-81.7006,82.42,78,40,13.8
74,Yaan,NG,2021-12-19 04:41:27,7.3833,8.5667,70.9,32,41,6.67
75,Hambantota,LK,2021-12-19 04:41:27,6.1241,81.1185,80.94,89,40,10.36
76,Narsaq,GL,2021-12-19 04:41:27,60.9167,-46.05,44.82,91,100,9.46
77,Oktyabrsk,KZ,2021-12-19 04:41:28,49.4744,57.4233,30.7,98,100,11.68
78,Raudeberg,NO,2021-12-19 04:41:28,61.9875,5.1352,39.87,85,99,4.0
79,Beringovskiy,RU,2021-12-19 04:41:28,63.05,179.3167,33.64,98,100,14.47
80,Hilo,US,2021-12-19 04:37:20,19.7297,-155.09,72.81,43,90,5.75
81,Kapaa,US,2021-12-19 04:41:29,22.0752,-159.319,78.78,78,40,1.99
82,Barrow,US,2021-12-19 04:40:01,71.2906,-156.7887,-3.98,77,90,9.22
83,Bethel,US,2021-12-19 04:41:29,41.3712,-73.414,44.04,91,90,1.99
84,Chuy,UY,2021-12-19 04:37:15,-33.6971,-53.4616,62.38,84,0,8.5
85,Vila,PT,2021-12-19 04:41:30,42.0304,-8.1588,38.32,80,11,4.81
86,Vaini,TO,2021-12-19 04:41:30,-21.2,-175.2,86.16,84,20,11.5
87,Lorengau,PG,2021-12-19 04:41:30,-2.0226,147.2712,83.66,77,100,10.11
88,Provideniya,RU,2021-12-19 04:41:31,64.3833,-173.3,3.69,97,100,19.19
89,Fairbanks,US,2021-12-19 04:38:41,64.8378,-147.7164,13.1,84,90,3.44
90,Hervey Bay,AU,2021-12-19 04:41:31,-25.2986,152.8535,87.04,59,16,7.67
91,Cabo San Lucas,MX,2021-12-19 04:37:24,22.8909,-109.9124,69.15,77,6,3.94
92,Severo-Kurilsk,RU,2021-12-19 04:41:32,50.6789,156.125,28.49,73,100,3.76
93,Ancud,CL,2021-12-19 04:39:56,-41.8697,-73.8203,53.42,95,4,2.13
94,Chokurdakh,RU,2021-12-19 04:41:32,70.6333,147.9167,-39.68,100,82,2.51
95,Sanchor,IN,2021-12-19 04:42:32,24.7553,71.7722,66.38,20,3,2.21
96,Hithadhoo,MV,2021-12-19 04:42:33,-0.6,73.0833,82.36,71,99,2.37
97,Saldanha,ZA,2021-12-19 04:42:33,-33.0117,17.9442,59.05,88,47,6.98
98,Cape Town,ZA,2021-12-19 04:42:33,-33.9258,18.4232,64.11,94,0,5.75
99,Bambous Virieux,MU,2021-12-19 04:42:34,-20.3428,57.7575,82.22,69,20,3.44
100,Paris,FR,2021-12-19 04:40:00,48.8534,2.3488,43.09,98,90,5.99
101,Kahului,US,2021-12-19 04:42:34,20.8947,-156.47,75.22,81,40,13.8
102,Rocha,UY,2021-12-19 04:42:34,-34.4833,-54.3333,57.27,95,0,6.4
103,Cumberland,US,2021-12-19 04:42:35,35.0502,-78.8664,67.48,84,75,10.36
104,Fort Nelson,CA,2021-12-19 04:42:35,58.8053,-122.7002,-20.61,76,75,2.3
105,Okha,RU,2021-12-19 04:42:35,53.5739,142.9478,0.32,84,81,14.88
106,Maba,CN,2021-12-19 04:42:35,24.6841,113.5984,63.88,19,1,5.5
107,New Norfolk,AU,2021-12-19 04:42:36,-42.7826,147.0587,64.92,52,100,5.01
108,Qui Nhon,VN,2021-12-19 04:40:11,13.7667,109.2333,70.16,90,100,30.36
109,Flinders,AU,2021-12-19 04:38:40,-34.5833,150.8552,90.21,48,100,16.13
110,Esperance,AU,2021-12-19 04:42:36,-33.8667,121.9,75.04,51,42,10.22
111,Makat,KZ,2021-12-19 04:42:38,47.6469,53.3463,38.71,87,100,14.65
112,Berlevag,NO,2021-12-19 04:42:38,70.8578,29.0864,29.05,81,99,20.38
113,Ponta Do Sol,PT,2021-12-19 04:42:39,32.6667,-17.1,68.0,85,81,18.1
114,Katsuura,JP,2021-12-19 04:42:39,35.1333,140.3,46.51,52,6,17.65
115,Eureka,US,2021-12-19 04:42:39,40.8021,-124.1637,47.93,91,100,7.0
116,Topola,RS,2021-12-19 04:42:40,44.2542,20.6825,36.68,85,99,10.0
117,Fare,PF,2021-12-19 04:42:40,-16.7,-151.0167,80.35,72,100,10.25
118,Alice Springs,AU,2021-12-19 04:42:40,-23.7,133.8833,105.35,13,6,8.05
119,Ukiah,US,2021-12-19 04:42:41,39.1502,-123.2078,46.98,90,1,0.0
120,Butembo,CD,2021-12-19 04:42:41,0.15,29.2833,59.52,95,94,2.35
121,Svetlogorsk,BY,2021-12-19 04:42:41,52.6333,29.7333,38.35,93,100,17.38
122,Toamasina,MG,2021-12-19 04:42:42,-18.1667,49.3833,80.6,83,40,8.05
